ID	extID	name	tooltipbase	tilemap	graphicstype	enabled	parity	x	y	itemmemory	rng	overlap	nointeract	enemy	item	standable	warp
0x000	None	Wooden log, buoyant, moves right	Floats rightward across a liquid's surface when Yoshi stands on it, with speed depending on Yoshi's position.	d08294024 p14 r32 x-8 y-6		3						0	0	0	0	1	0
0x001	None	X door	Unenterable door. Unlike most doors, this door visibly closes when a screen exit leads to it.	d082A3124 p10 r16,32 x-8 y-10; d082A3124 p10 r16,32 x+8 y-10 fx		3					0	0	0	0	0	0	0
0x002	None	Naval Piranha's vine, curved	(doesn't spawn if placed directly)			1						0	0	1			
0x003	None	Crate, key	Spawns a key when ground pounded. After the key is collected, the crate still spawns but contains nothing.	d082A5EA4 p14 r32 x-8 y-8; t1CE p11 r16 o50		3				2	0	0	0	0	1	0	0
0x004	None	Super Star block, bounce sprite	Spawns a coin or occasionally a star each time it's spawned, and replaces the layer 1 tile it's overlapping with a Super Star block.	t180 p11 r16 o50		2											
0x005	None	Ice melon	Allows Yoshi to spit ice breath 3 times.<br>Frozen if at the top-left corner of an ice block.	tC8 p13 r16		3					0	1	0	0	1	0	0
0x006	None	Ice breath	Spawns for only 1 frame, but if overlapping an enemy, freezes it.	t46 p11 r16	Dynamic, doesn't load its own graphic	2											
0x007	None	Watermelon	Allows Yoshi to spit seeds 30 times.<br>Frozen if at the top-left corner of an ice block.	tC8 p10 r16		3					0	1	0	0	1	0	0
0x008	None	Bowser's falling rock, decorative	(glitch)			1											
0x009	None	Fire melon	Allows Yoshi to spit fire breath 3 times.<br>Frozen if at the top-left corner of an ice block.	tC8 p11 r16		3					0	1	0	0	1	0	0
0x00A	None	Kaboomba	A walking cannon that shoots exploding cannonballs.	s4A t0F p12 y+9; s4A t00 p10 r24,16 x-8 y-3; s4A t03 p10 y-B; s4A t0F p12 x+2 y+9		3						0	0	1			
0x00B	None	Kaboomba's cannonball	From Kaboomba. Falls to the ground and explodes immediately.	s4A t0C p10 r16		2						0	0	1			
